DATA|LINEA|VARIANTE|CORSA|BUS|ORA_PARTENZA|ORA_ARRIVO|SALITA|ABBONAMENTO|ACQUISTO_BORDO|ACQUISTO_TERRA|CARTA_SCALARE|CHIP_ON_PAPER|MOBILE_TICKETING|PRESTAMPATO
10-08-2017|Bosco - S.Agnese - Civezzano                                                                        |Bosco - Civezzano|E103830002|1586|07:55:00|08:25:00|Bosco (Loc. Canova)|1|0|0|0|0|0|0
10-08-2017|Bosco - S.Agnese - Civezzano                                                                        |Bosco - Civezzano|E103830002|1586|07:55:00|08:25:00|Mazzanigo|1|0|0|0|0|0|0
10-08-2017|Bosco - S.Agnese - Civezzano                                                                        |Bosco - Civezzano|E103830002|1586|07:55:00|08:25:00|Rovere' /Bampi Bv|1|0|0|0|0|0|0
10-08-2017|Bosco - S.Agnese - Civezzano                                                                        |Bosco - Civezzano|E103830002|1586|07:55:00|08:25:00|S.AGNESE/PENEDALLO|3|0|0|1|0|0|0
10-08-2017|Bosco - S.Agnese - Civezzano                                                                        |Bosco - Civezzano|E103830002|1586|07:55:00|08:25:00|Seregnano|1|0|0|1|0|0|0
10-08-2017|Bosco - S.Agnese - Civezzano                                                                        |Bosco - Civezzano|E103830002|1586|07:55:00|08:25:00|Torchio|0|0|0|1|0|0|0
10-08-2017|Bosco - S.Agnese - Civezzano                                                                        |Bosco - Civezzano|E103830002|1586|07:55:00|08:25:00|Torchio/Seregnano|0|1|0|0|0|0|0
10-08-2017|Bosco - S.Agnese - Civezzano                                                                        |Civezzano - Bosco|E102280002|1586|12:40:00|13:10:00|Civezzano (Quadrivio )|0|0|0|1|0|0|0
10-08-2017|Bosco - S.Agnese - Civezzano                                                                        |Civezzano - Bosco|E102280002|1586|12:40:00|13:10:00|CIVEZZANO/Mochena/Sille|0|0|0|1|0|0|0
10-08-2017|Bosco - S.Agnese - Civezzano                                                                        |Civezzano - Bosco|E102360002|3611|18:00:00|18:30:00|Bampi bivio|1|0|0|0|0|0|0
10-08-2017|Bosco - S.Agnese - Civezzano                                                                        |Civezzano - Bosco|E102360002|3611|18:00:00|18:30:00|CIVEZZANO/Mochena/Sille|1|0|0|0|0|0|0
10-08-2017|Bosco - S.Agnese - Civezzano                                                                        |Civezzano - Bosco|E102420002|3618|11:35:00|12:05:00|CIVEZZANO/Mochena/Sille|1|0|0|0|0|0|0
10-08-2017|Bosco - S.Agnese - Civezzano                                                                        |Civezzano - Bosco|E102420002||11:35:00|12:05:00|Civezzano (Quadrivio )|0|0|0|1|0|0|0
10-08-2017|Bosco - S.Agnese - Civezzano                                                                        |Civezzano - Bosco|E102420002||11:35:00|12:05:00|Cogatti|0|1|0|0|0|0|0
10-08-2017|Bosco - S.Agnese - Civezzano                                                                        |Civezzano - Bosco|E102420002||11:35:00|12:05:00|S.Agnese (Difr. al Civ. 64)|0|1|0|0|0|0|0
10-08-2017|Bosco - S.Agnese - Civezzano                                                                        |Civezzano - Bosco|E102420002||11:35:00|12:05:00|S.AGNESE/PENEDALLO|0|0|0|1|0|0|0
10-08-2017|Bosco - S.Agnese - Civezzano                                                                        |Civezzano - Bosco|E102420002||11:35:00|12:05:00|Torchio|0|1|0|0|0|0|0
10-08-2017|Bosco - S.Agnese - Civezzano                                                                        |Civezzano - Bosco|E102460002|3611|17:00:00|17:30:00|CIVEZZANO/Mochena/Sille|2|0|0|0|0|0|0
