Dati della strada;Dati della strada;Dati della strada;Dati della strada;Dati della strada;Dati della strada;Dati della strada;Dati della strada;Dati della strada
id strada;id lrs;codice servizio;denominazione;progressiva di inizio strada;progressiva di fine strada;localita di inizio strada;localita di fine strada;TIPO
49;30003601;SP 36 dir Varone;delle Grazie diramazione Varone;0;1,451;Località Pasina (incrocio con S.P. 36 al km 0,847);Varone (incrocio con S.S. 421 al km 61,050);C
50;30003700;SP 37;del Monte Tombio;0;9,424;Riva del Garda (incrocio con S.S. 421 km 63,317);Lago di Tenno (Incrocio con S.S. 421 al km 53,026);C
51;30003701;SP 37 dir Campi;del Monte Tombio diramazione Campi;0;2,745;km 7,956 della S.P. n. 37;in centro abitato di Campi;C
342;30003702;SP 37 dir Riva;del Monte Tombio diramazione Riva del Garda;0;0,34;;;C
52;30003800;SP 38;di Cavizzana;0;1,84;Bivio S.S. n. 42;Cavizzana;C
53;30003900;SP 39;di Samone;0;1,696;Tomaselli;abitato Samone;C
54;30004000;SP 40;della Valle di Sella;0;9,252;Borgo V.na - km 4,305 SP 109;località Sella di Borgo;C
55;30004100;SP 41;Castelnuovo - Strigno;0;3,328;Castelnuovo - km 1,200 S.P. 109;Strigno (km 1,405 S.P. 78);C
56;30004200;SP 42;Strigno - Spera;0;1,176;abitato Strigno;abitato Spera;C
57;30004300;SP 43;di Castelfondo;0;6,451;S.S. 42 al km 206,480;Forcella di Brez;C
58;30004301;SP 43 dir Brez;di Castelfondo diramazione Brez;0;2,967;;;C
59;30004500;SP 45;Isera - Valle San Felice;0;11,862;Isera (bivio S.P. 90 Km 2,535);Valle S. Felice (bivio S.P. 88 Km 5,225);C
60;30004800;SP 48;del Monte Velo;0;15,875;Bolognano (bivio SS 240 dir. km 4,222);Ronzo - Chienis (bivio S.P. 88 Km 10,860);C
61;30004900;SP 49;di Besenello;0;2,67;Posta Vecchia (bivio S.S. 12 Km 364,300;Calliano (bivio S.S. 12 Km 362,700);C
62;30005000;SP 50;di Trambileno;0;7,89;S. Colombano (bivio S.S. 46 Km 68,825);bivio S.S. 46 Km 65,250;C
63;30005100;SP 51;di Capriana;0;1,851;S.S. 612 km 34,000;Fine S.P. Paese Capriana;C
64;30005101;SP 51 dir Trento;di Capriana diramazione Trento;0;0,164;;fine dir.;C
65;30005300;SP 53;di Montagne;0;4,284;C.a.Preore S.P 34 al km 5.200;C.a. Larzana ( Montagne );C
300;30005400;SP 54;di Grauno;0;1,078;;;C
67;30005500;SP 55;di Campodenno;0;4,253;Crescino;Campodenno con immissione sulla S.P. 67 km 8,048;C
69;30005501;SP 55 dir Lover;di Campodenno diramazione Lover;0;2,316;;;C
68;30005502;SP 55 dir Dercolo;di Campodenno diramazione Dercolo;0;0,277;;;C
70;30005600;SP 56;di Caoria;0;10,809;km 12,318 S.P. 79;abitato Caoria;C
71;30005700;SP 57;Cis - Livo;0;4,659;S.S. 42 al km 189,200;Livo innesto con la S.P. 6 al km 1,940;C
72;30005800;SP 58;di Faedo;0;11,385;centro abitato di San Michele;Ville di Giovo;C
73;30005900;SP 59;Nomi - Calliano;0;1,96;Nomi (bivio via Roma);Calliano (bivio via Marconi);C
74;30005901;SP 59/COL;Nomi - Calliano collegamento S.P. 90;0;0,29;Nomi (bivio S.P. 59 Km 0,000);bivio S.P. 90 km 11,025;C
75;30006000;SP 60;di Ivano e Ospedaletto;0;4,883;Abitato di Strigno S.P. 78 km 1,250;Abitato Ospedaletto;C
76;30006001;SP 60 dir;di Ivano e Ospedaletto diramazione Ivano;0;2,161;S.P. 60 km 0,109;Abitato Agnedo incr. S.P. 60 al km 1,106;C
340;30006100;SP 61;di Agnedo;0;1,62;SS 47;SP 60;C
77;30006400;SP 64;di Fai;0;17,002;dopo l'abitato di Mezzolombardo staccandosi dalla S.S. 43;centro abitato di Andalo all'intersezione con la S.S. 421;C
78;30006500;SP 65;Panoramica della Valsugana;0;14,8;Marter incr. con S.P. n. 228 al km 17.491;Abitato di Villa inc. con S.P. n. 78 al Km 0,780;C
81;30006501;SP 65 dir;Panoramica della Valsugana diramazione Fontane;0;1,951;Roncegno incr. con S.P. n. 65 al km 1,623;incrocio con S.P. 109 al km 6,630;C
82;30006600;SP 66;di Montagnaga;0;11,1;Pergine;Baselga di Pinè;C
83;30006700;SP 67;del Lovernatico;0;11,967;Crescino;Cunevo S.P. 73 al km 5,809;C
84;30006800;SP 68;di Bresimo;0;4,4;S.P. 6 di Rumo al km 2,408;Bresimo;C
85;30006900;SP 69;di Storo e Bondone;0;10,66;C.a. Storo;C.a. Bondone;C
86;30007000;SP 70;di Castel Condino;0;4,467;Cimego S.S 237 al km 68.700;C.a. Castel Condino;C
87;30007100;SP 71;Fersina - Avisio;0;40;Civezzano;Stramentizzo fine S.P. incrocio con SS612 km 40,500;C
326;30007200;SP 72;della val Camino;0;1,48;SP 83;SP 71;C
88;30007300;SP 73;Destra Anaunia;0;17,923;S.S. 43 al km 19,990;Cles;C
89;30007400;SP 74;della Novella;0;6,315;Revò - SS 42 km 196,950;S. Zeno su SS 43 dir. 4,055;C
90;30007401;SP 74 dir Casez;della Novella diramazione Casez;0;0,564;si stacca da S.P. 74 al km 3,456;fine Casez sulla S.P. 24 al km 1,490;C
91;30007500;SP 75;del Grigno;0;11,252;Abitato di Grigno incr. con S.P. n. 75/dir. al km 2,750;Abitato Castello Tesino incr. con S.P. n. 78 al km 14,514;C
93;30007501;SP 75 dir Grigno;diramazione di Grigno;2,14;8,69;;;C
94;30007502;SP 75 dir sv Serafini;del Grigno diramazione svincoli Serafini;0;0,74;;;C
312;30007503;SP 75 sv;del Grigno svincoli;0;0,675;;;C
95;30007600;SP 76;Gardolo - Lases;0;14,453;S.S. 12 Lamar di Gardolo;Lases incrocio con S.P. 71;C
96;30007601;SP 76 dir S.Lazzaro;Gardolo - Lases diramazione S. Lazzaro;0;1,35;Meano;San Lazzaro;C
98;30007602;SP 76 dir Lases;Gardolo - Lases diramazione Lases;0;0,09;S.P. 76;Lases;C
345;30007700;SP 77;della Valcava;0;4,835;innesto con SP 71 al km 24,450;innesto con SP8 83 al km 19,780 - abitato di Brusago;C
99;30007800;SP 78;del Tesino;0;14,592;Barricata incr. Con S.S. 47 al km 91,150;abitato Castello Tesino;C
100;30007900;SP 79;del Brocon;0;44,348;Imer incr. con S.S. 50 al km 67,700;abitato Castello Tesino;C
101;30008000;SP 80;del Totoga;0;3,75;Lanterna Rossa incr. con S.S. 50 al km 65,400;Lausen incr. on S.P. n. 79 al km 10,230;C
102;30008100;SP 81;del Passo Valles;0;6,796;incrocio con S.S. 50;fine S.S. confine con Provincia di Belluno;C
103;30008300;SP 83;di Pinè;0;26,407;incrocio con S.S.47;Sover incrocio con S.P. 71;C
104;30008301;SP 83 dir Faida;di Pinè diramazione Faida;0;3,43;Baselga di Pinè;Faida;C
105;30008302;SP 83 dir Bedollo;di Pinè diramazione Bedollo;0;2,452;Centrale;Bedollo;C
106;30008303;SP 83 sv Mochena;di Pinè svincolo Mochena;0;0,475;Mochena;Mochena;C
107;30008400;SP 84;di Cavedine;0;20,444;dopo l'abitato di Mezzano staccandosi dalla S.S. 45 bis e diamazioni;paese di Dro;C
108;30008401;SP 84 dir Padergnone;di Cavedine diramazione Padergnone;0;1,462;;;C
109;30008402;SP 84 sv Dro;di Cavedine svincolo Dro;0;1,396;;;C
110;30008403;SP 84 sv Padergnone;di Cavedine svincolo Padergnone;0;0,155;;;C
111;30008500;SP 85;del Monte Bondone;0;39,861;si stacca dalla S.S. 45 in località Monte Video;intersezione con S.P. 84 dopo Paese di Lasino;C
112;30008501;SP 85 dir Sopramonte;del Monte Bondone diramazione Sopramonte;0;7,357;inizia staccandosi dalla S.P. 85 in località Candriai;intersezione con S.S 45 bis prima dell'abitato di Cadine;C
113;30008502;SP 85 dir VigBaselga;del Monte Bondone diramazione Vigolo Baselga;0;2,985;inizia staccandosi dalla diramazione per Sopramonte prima del Paese di Sopramonte;intersezione con S.S. 45 bis dopo Paese di Vigolo Baselga;C
