NOME;TIPO;STRADA;KM;INDIRIZZO;LOCALITA;SERVIZI DISPONIBILI;CODICE ISTAT LOCALITA;LINK PORTALE
ENI;;SS 12  Km 355+991;0,5;LOC. S. ILARIO 74;ROVERETO;autoshop/bar/lavaggio/;022161;https://carburanti.mise.gov.it/OssPrezziSearch/ricerca
ENI;;SS 12  Km 394+200;0,5;VIA NAZIONALE 6;SAN MICHELE ALL'ADIGE;bar/cambio gomme/officina/;022167;https://carburanti.mise.gov.it/OssPrezziSearch/ricerca
ENI;Benzina super senza piombo/Benzina super senza piombo a 98 ottani/Gasolio ad alte prestazioni/Gasolio tradizionale/Gpl/;SS 42  Km 210+694;2,5;VIA CESARE BATTISTI 1;SARNONICO;cambio gomme/lavaggio/;022170;https://carburanti.mise.gov.it/OssPrezziSearch/ricerca
ENI;;SS 43  Km 10+550;1,0;frazione TAIO - località DERMULO;PREDAIA;autoshop/bar/;022230;https://carburanti.mise.gov.it/OssPrezziSearch/ricerca
 ;;SS 50  Km 72+940;1,0;S.S. 50 KM. 72+940;PRIMIERO SAN MARTINO DI CASTROZZA;autoshop/lavaggio/parcheggio/;022245;https://carburanti.mise.gov.it/OssPrezziSearch/ricerca
ENI;Benzina super senza piombo/Benzina super senza piombo a 98 ottani/Gasolio ad alte prestazioni/Gasolio tradizionale/;---;0,1;VIA MACCANI 46;TRENTO;lavaggio/;022205;https://carburanti.mise.gov.it/OssPrezziSearch/ricerca
ENI;;---;0,1;LUNG'ADIGE LEOPARDI 1;TRENTO;lavaggio/;022205;https://carburanti.mise.gov.it/OssPrezziSearch/ricerca
ENI;;---;0,3;VIALE VERONA 210;TRENTO;autoshop/bar/lavaggio/;022205;https://carburanti.mise.gov.it/OssPrezziSearch/ricerca
AGIP;;---;0,5;VIA GIUSTI  38;TRENTO;autoshop/lavaggio/officina/;022205;https://carburanti.mise.gov.it/OssPrezziSearch/ricerca
ENI;;SS 12  Km 385+955;1,0;LOC. LAMAR;TRENTO;autoshop/bar/lavaggio/parcheggio/;022205;https://carburanti.mise.gov.it/OssPrezziSearch/ricerca
ENI;Benzina super senza piombo/Benzina super senza piombo a 98 ottani/Gasolio ad alte prestazioni/Gasolio tradizionale/;---;0,1;VIA BRENNERO 152;TRENTO;autoshop/bar/lavaggio/parcheggio/;022205;https://carburanti.mise.gov.it/OssPrezziSearch/ricerca
