@id,@lat,@lon,name,brand,operator,fuel:diesel,fuel:lpg,fuel:cng
1250419842,46.0075426,11.1270820,Retitalia,Retitalia,Adami Armando e C. S.A.S.,,,
1263354834,46.3046350,11.5951134,Eni,Agip Eni,Camelo Service di Dellasega Riccardo,,yes,
1278575057,46.1864594,11.0741941,Tamoil,Tamoil,Mottes Renzo & C. S.N.C.,,,
1318116512,46.0384428,11.1230431,Area di Servizio Petrol-Airport,Agip Eni,"Petrol-airport S.A.S. di Degasperi Diego, Tomasi Luca & C.",,,yes
1344729806,46.2278962,10.8260803,Agip Madonna Campiglio,Agip Eni,Polchi S.N.C. di Paolo Pollini & Mattia Chiodega,yes,,
1358077743,46.4367247,11.1399030,,Esso,Zucol Pietro,,,
1374579624,46.0480248,11.1376817,Agip Villazzano,Agip Eni,Zanotelli Gherardo,yes,,
1538159047,46.3666461,11.6495876,Agip,Agip Eni,Dezulian Alessio,,,
1590167248,46.2856645,11.0383682,Agip,Agip Eni,Energy di Iob Franca,,,
1688626488,46.3000022,11.4515294,Gruppo Nord Petroli,Gnp,Gruppo Nord Petroli S.R.L.,yes,,
1688634496,46.3000612,11.4514869,Gruppo Nord Petroli,Nord Petroli,,yes,,
1748976932,45.9968382,10.6912666,,,,,,
1850151225,46.0381600,10.7266475,,Esso,Scandolari Giuliano,yes,,
2203850300,46.0623539,11.5009876,,Repsol,De.Ko S.A.S. di Kovacevic Esed,,yes,
2262103279,46.3676941,11.0767057,Repsol,Repsol,Inama Danilo e Paternoster Emanuela Snc,,,
2364540522,46.1677860,11.0043821,Agip,Agip Eni,Ghezzi Lorenzo,,,
2367894292,45.9473079,10.6181797,,Agip Eni,Pellizzari Rinaldo,,,
2378444346,46.0306554,10.7243277,Autofficina Valentini,Total Erg,Autofficina Valentini S.R.L.,yes,,
2517263791,45.7573822,10.9994684,,,Ferrari Attilio,,,
2546470576,45.9438451,10.6419732,IP,Api-Ip,Lolli Elvio,,,
2611293430,46.0692949,11.4826450,,,Burlon Altenio e Burlon Diego S.N.C.,,,
2889108551,45.7945715,11.1070825,,Q8,Zendri Mirko,,,
3234670050,46.0686516,11.6255111,,,Fratelli Pasqualin S.N.C. di Pasqualin Gianluca e Clara,,,
3625765816,46.4425891,11.0153238,,Repsol,Fanti Milva,yes,,
4019853367,45.8034248,11.0191712,,Esso,Campion Marco e C. S.A.S.,,yes,
4028876648,45.9143194,11.0213086,,,Galvagni Gianni,,,
4225337769,46.0594408,11.5217891,,Gnp,Gruppo Nord Petroli S.R.L.,,,
4244724250,46.0751474,11.1240565,IP,Api-Ip,Ruaben Franco,,,
4248407072,46.3111797,10.7321893,,Agip Eni,Mosconi Nicola,,,
4377865634,46.0512163,11.4453172,,Esso,Emmeerre S.A.S. di Mirko Rizzon,,,
4763646955,45.9333004,11.0961139,Automatico,Api-Ip,Adami Armando e C. S.A.S.,yes,,
5027215823,46.0856262,10.7213082,Q8,Q8,Pouli Anselmo,,,
5104866539,45.9177724,11.0686022,,Retitalia,Brixia Finanziaria S.R.L.,yes,,
5118041338,45.8357457,11.0104341,,,Emanuelli Franco,yes,,
5118052995,45.7294567,10.9498847,,,Emanuelli Giorgio,,,
