Comune;Provincia;Regione;Nome;Anno inserimento;Data e ora inserimento;Identificatore in OpenStreetMap;Longitudine;Latitudine
TRENTO;TRENTO;Trentino-Alto Adige;Q8 Area Est;2014;2014-09-17T13:21:52Z;227916531;11.1059585999999;46.0872335999999
TRENTO;TRENTO;Trentino-Alto Adige;Q8 Area Ovest;2014;2014-09-17T13:21:52Z;227916408;11.105229;46.0869716999999
TRENTO;TRENTO;Trentino-Alto Adige;Repsol;2014;2014-09-17T13:22:47Z;227514815;11.1308915;46.0469039999999
TRENTO;TRENTO;Trentino-Alto Adige;Shell Trento Via Brescia;2014;2014-03-04T17:11:11Z;228160901;11.1108639999999;46.0705299999999
TRENTO;TRENTO;Trentino-Alto Adige;Tamoil;2014;2014-09-17T13:36:46Z;227515149;11.1241492;46.0728646999999
TRENTO;TRENTO;Trentino-Alto Adige;Total;2014;2014-03-04T17:11:29Z;227515152;11.116344;46.0904039999999
VALLARSA;TRENTO;Trentino-Alto Adige;;2014;2014-05-30T13:19:41Z;2889108551;11.1070825;45.7945715
VEZZANO;TRENTO;Trentino-Alto Adige;Esso;2014;2014-03-04T17:10:39Z;227912463;10.995958;46.075679
VIGO DI FASSA;TRENTO;Trentino-Alto Adige;Q8;2008;2008-10-18T22:09:00Z;272333336;11.6807602999999;46.4198347
VIGOLO VATTARO;TRENTO;Trentino-Alto Adige;Total;2012;2012-01-01T19:38:30Z;430548247;11.1998804;46.0022401
ZUCLO;TRENTO;Trentino-Alto Adige;IP;2014;2014-09-17T12:42:17Z;227912951;10.747182;46.039816
COMANO TERME;TRENTO;Trentino-Alto Adige;Agip;2015;2015-10-28T10:55:27Z;427524200;10.8760355;46.0373887
COMANO TERME;TRENTO;Trentino-Alto Adige;Total;2014;2014-03-04T17:11:28Z;227912815;10.8642129999999;46.0363609999999
LEDRO;TRENTO;Trentino-Alto Adige;;2010;2010-05-14T16:31:42Z;734201586;10.7710092999999;45.8720392
LEDRO;TRENTO;Trentino-Alto Adige;;2010;2010-06-19T14:16:32Z;776352364;10.6853771;45.8925933
LEDRO;TRENTO;Trentino-Alto Adige;;2010;2010-07-08T21:00:47Z;776352361;10.7287175;45.8898993
