stopId,stopCode,stopName,stopDesc,stopLat,stopLon,zoneId,wheelchairBoarding,routes,distance,type,locality,street,streetNumber,town,postalCode,province,stopLevel
2330,3406LA,Loc. Landrom Civ. 1,,45.80513,10.94076,3407,0,"[{'routeId': 231, 'agencyId': 12, 'routeShortName': 'B305', 'routeLongName': 'Rovereto-Mori-Brentonico-Saccone', 'routeType': 3, 'routeColor': None, 'routeTextColor': None, 'type': 'E', 'areaId': 0, 'news': None}]",,E,,Loc. Landrom Civ. 1,,Brentonico,38060,TN,20
1727,2157,Tremalzo Bivio,,45.864065,10.645069,2159,0,"[{'routeId': 157, 'agencyId': 12, 'routeShortName': 'B215', 'routeLongName': 'Tione-Pieve di Bono-Storo-Baitoni-Ponte Caffaro', 'routeType': 3, 'routeColor': None, 'routeTextColor': None, 'type': 'E', 'areaId': 0, 'news': None}, {'routeId': 171, 'agencyId': 12, 'routeShortName': 'B214', 'routeLongName': 'Riva-Pregasina-Bezzecca-Storo-Pieve di Bono', 'routeType': 3, 'routeColor': None, 'routeTextColor': None, 'type': 'E', 'areaId': 0, 'news': None}]",,E,,Tremalzo Bivio,,Ledro,38067,TN,60
4038,3520FB,Arco P. Foro Boario,,45.918164,10.887945,3520,0,"[{'routeId': 110, 'agencyId': 12, 'routeShortName': 'B301', 'routeLongName': 'Trento-Besenello-Calliano-Rovereto', 'routeType': 3, 'routeColor': None, 'routeTextColor': None, 'type': 'E', 'areaId': 0, 'news': None}, {'routeId': 134, 'agencyId': 12, 'routeShortName': 'B205', 'routeLongName': 'Trento-Vezzano-Sarche-Dro-Arco-Riva', 'routeType': 3, 'routeColor': None, 'routeTextColor': None, 'type': 'E', 'areaId': 0, 'news': None}, {'routeId': 175, 'agencyId': 12, 'routeShortName': 'B204', 'routeLongName': 'Trento-Vigo Cavedine-Riva del Garda', 'routeType': 3, 'routeColor': None, 'routeTextColor': None, 'type': 'E', 'areaId': 0, 'news': None}, {'routeId': 417, 'agencyId': 12, 'routeShortName': 'B863', 'routeLongName': 'Linea 3 integrata:Nago-Torbole-Riva-Arco-Bolognano', 'routeType': 3, 'routeColor': None, 'routeTextColor': None, 'type': 'E', 'areaId': 0, 'news': None}, {'routeId': 634, 'agencyId': 12, 'routeShortName': 'B332', 'routeLongName': 'Rovereto-Mori-Riva-Arco-Bolognano', 'routeType': 3, 'routeColor': None, 'routeTextColor': None, 'type': 'E', 'areaId': 0, 'news': None}]",,E,Arco,Arco P. Foro Boario,,Arco,38062,TN,60
5967,2380RR,Pelugo,,46.087322,10.723226,2380,0,"[{'routeId': 71, 'agencyId': 12, 'routeShortName': 'B201', 'routeLongName': 'Trento-Vezzano-Sarche-Tione', 'routeType': 3, 'routeColor': None, 'routeTextColor': None, 'type': 'E', 'areaId': 0, 'news': None}, {'routeId': 157, 'agencyId': 12, 'routeShortName': 'B215', 'routeLongName': 'Tione-Pieve di Bono-Storo-Baitoni-Ponte Caffaro', 'routeType': 3, 'routeColor': None, 'routeTextColor': None, 'type': 'E', 'areaId': 0, 'news': None}, {'routeId': 636, 'agencyId': 12, 'routeShortName': 'B231', 'routeLongName': 'Tione-Pinzolo-Madonna di C.-C.C.Magno', 'routeType': 3, 'routeColor': None, 'routeTextColor': None, 'type': 'E', 'areaId': 0, 'news': None}]",,E,Pelugo,Pelugo,,Pelugo,38079,TN,60
6106,2055DP,Masi di Sotto-Deposito Tt,,45.971235,10.973974,2055,0,"[{'routeId': 322, 'agencyId': 12, 'routeShortName': 'B218', 'routeLongName': 'Vigo Cavedine - Masi di Vigo Cavedine', 'routeType': 3, 'routeColor': None, 'routeTextColor': None, 'type': 'E', 'areaId': 0, 'news': None}]",,E,,Masi di Sotto-Deposito Tt,,Cavedine,38073,TN,60
6119,3165CV,Speccheri Sp 219 Civ.1,,45.766545,11.128088,3165,0,"[{'routeId': 215, 'agencyId': 12, 'routeShortName': 'B312', 'routeLongName': 'Rovereto-Pozzacchio-Parrocchia V.-Pian d. Fugazze', 'routeType': 3, 'routeColor': None, 'routeTextColor': None, 'type': 'E', 'areaId': 0, 'news': None}]",,E,Speccheri,Speccheri Sp 219 Civ.1,,Vallarsa,38060,TN,20
557,1070IT,Cavalese-Case Itea,,46.289444,11.4692,1070,0,"[{'routeId': 65, 'agencyId': 12, 'routeShortName': 'B109', 'routeLongName': 'Cavalese - Masi di Cavalese', 'routeType': 3, 'routeColor': None, 'routeTextColor': None, 'type': 'E', 'areaId': 0, 'news': None}, {'routeId': 136, 'agencyId': 12, 'routeShortName': 'B113', 'routeLongName': 'Cavalese - Daiano - Carano - Tesero - Cavalese', 'routeType': 3, 'routeColor': None, 'routeTextColor': None, 'type': 'E', 'areaId': 0, 'news': None}]",,E,Cavalese,Via Marco,26,Cavalese,38033,TN,40
1606,2314AI,Storo-Al Melograno,,45.850363,10.575059,2314,0,"[{'routeId': 157, 'agencyId': 12, 'routeShortName': 'B215', 'routeLongName': 'Tione-Pieve di Bono-Storo-Baitoni-Ponte Caffaro', 'routeType': 3, 'routeColor': None, 'routeTextColor': None, 'type': 'E', 'areaId': 0, 'news': None}, {'routeId': 171, 'agencyId': 12, 'routeShortName': 'B214', 'routeLongName': 'Riva-Pregasina-Bezzecca-Storo-Pieve di Bono', 'routeType': 3, 'routeColor': None, 'routeTextColor': None, 'type': 'E', 'areaId': 0, 'news': None}]",,E,Storo,Via Giuseppe Garibaldi,214,Storo,38089,TN,20
2767,3220,Staineri,,45.797307,11.09368,3162,0,"[{'routeId': 203, 'agencyId': 12, 'routeShortName': 'B314', 'routeLongName': 'Rovereto-Riva-Obra di Vallarsa-Ometto', 'routeType': 3, 'routeColor': None, 'routeTextColor': None, 'type': 'E', 'areaId': 0, 'news': None}, {'routeId': 215, 'agencyId': 12, 'routeShortName': 'B312', 'routeLongName': 'Rovereto-Pozzacchio-Parrocchia V.-Pian d. Fugazze', 'routeType': 3, 'routeColor': None, 'routeTextColor': None, 'type': 'E', 'areaId': 0, 'news': None}]",,E,Staineri,Staineri,,Vallarsa,38060,TN,40
2293,32241z,"Ss.240 ""Millennium Nord""",,45.87032,11.016768,10101,2,"[{'routeId': 578, 'agencyId': 12, 'routeShortName': '1', 'routeLongName': '(Volano) Bettini Staz. Lizzana Marco', 'routeType': 3, 'routeColor': None, 'routeTextColor': None, 'type': 'U', 'areaId': 0, 'news': None}, {'routeId': 582, 'agencyId': 12, 'routeShortName': '2', 'routeLongName': 'Nomi Villa Lagarina Stazione Mori', 'routeType': 3, 'routeColor': None, 'routeTextColor': None, 'type': 'U', 'areaId': 0, 'news': None}]",,U,Rovereto,Ss. 240-Mariani,,Rovereto,38068,TN,60
