,@id,latitude,longitude,name,brand,operator,fuel:diesel,fuel:lpg,fuel:cng,address
57,229100024,46.0480736,11.113788000000001,Esso Trento Ovest,Esso,Stazione di Servizio Esso di Dematte' Oscar e Uber Lorenzo S.N.C.,yes,no,no,"Man Malpensada, San Pio X, Trento, Territorio Val d'Adige, Trento, Trentino-Alto Adige/Südtirol, Italia"
58,229113179,45.9825836,10.9251918,IP,Agip Eni,Beatrici Diego,,,,"IP, SS45bis, Dro, Comunità Alto Garda e Ledro, Trento, Trentino-Alto Adige/Südtirol, 38074, Italia"
59,229113341,46.285038,11.436596,Tamoil,Tamoil,Casari Mauro,,yes,,"Tamoil, Strada Statale delle Dolomiti, Carano, Comunità territoriale della Val di Fiemme, Trento, Trentino-Alto Adige/Südtirol, 38033, Italia"
60,260405101,46.2725849,11.4194858,IP,,Gas Motors di Delmarco Stefano e C. S.N.C.,,,,"IP, Via Segherie, Predaia, Castello-Molina di Fiemme, Comunità territoriale della Val di Fiemme, Trento, Trentino-Alto Adige/Südtirol, 38033, Italia"
61,269349968,46.150321000000005,11.2224209,Esso,Esso,Casagranda Bruno e C. S.N.C.,,yes,,"Esso, Via Nazionale, Lona-Lases, Comunità della Valle di Cembra, Trento, Trentino-Alto Adige/Südtirol, 38041, Italia"
62,269349969,46.1879342,11.259011300000001,IP,Api-Ip,Cielle S.A.S. di Folgheraiter Candido e C.,,,,"IP, Strada Provinciale 71 Fersina - Avisio, Segonzano, Comunità della Valle di Cembra, Trento, Trentino-Alto Adige/Südtirol, 38047, Italia"
63,269955391,46.3171415,11.5970776,,Agip Eni,Camelo Service di Dellasega Riccardo,,,,"Agip Eni, Corso Dolomiti, Predazzo, Comunità territoriale della Val di Fiemme, Trento, Trentino-Alto Adige/Südtirol, 38037, Italia"
64,272274734,45.9343359,10.897648199999999,Agip,Agip Eni,Mazzoni Paolo,,,,"Agip, SS45bis, Bolognano, Arco, Comunità Alto Garda e Ledro, Trento, Trentino-Alto Adige/Südtirol, 38062, Italia"
65,272274750,45.9160258,10.879267800000001,Constantin,Costantin,Eeffe Engineering Srl Unipersonale,,,,"Constantin, Via Santa Caterina, Bolognano, Arco, Comunità Alto Garda e Ledro, Trento, Trentino-Alto Adige/Südtirol, 38062, Italia"
66,272274753,45.9087696,10.869027099999998,Nord Petroli,,Gruppo Nord Petroli S.R.L.,,,,"Nord Petroli, Via Santa Caterina, Bolognano, Arco, Comunità Alto Garda e Ledro, Trento, Trentino-Alto Adige/Südtirol, 38062, Italia"
67,272333336,46.4197549,11.6806802,Q8,Q8,Alpichem Service di Blasco Andrea,,,,"Q8, SS48, San Giovanni di Fassa, Comun General de Fascia, Trento, Trentino-Alto Adige/Südtirol, 38039, Italia"
68,272337349,46.368674299999995,11.6517974,Esso,Esso,Bez Ezio,,,,"Esso, SS48, Moena, Comun General de Fascia, Trento, Trentino-Alto Adige/Südtirol, 38035, Italia"
69,278561988,46.2503653,11.1821647,q8,Q8,Calovi Fulvio,,,,"q8, Via IV Novembre, Roverè della Luna, Comunità Rotaliana-Königsberg, Trento, Trentino-Alto Adige/Südtirol, 39040, Italia"
70,293331223,46.073069,11.0581875,Q8,Q8,Cainelli S.A.S. di Cainelli Gianluigi e C.,,,,"Q8, Strada di Spinéda, Sant'Anna, Trento, Territorio Val d'Adige, Trento, Trentino-Alto Adige/Südtirol, 66, Italia"
71,304025064,45.9008235,10.857834,,Api-Ip,Ip Services S.R.L.,yes,yes,,"Api-Ip, Pista Ciclabile Arco-Riva, Riva del Garda, Comunità Alto Garda e Ledro, Trento, Trentino-Alto Adige/Südtirol, 38066, Italia"
