@id,@lat,@lon,name,place,destination,ele,direction_northeast,hiking,direction_south,direction_northwest,direction_southeast,hiking,ref,direction_north,source,horse,foot,bicycle
455646949,46.1918740,10.8662700,Valle del Fridolin,,Sella del Frigolin 0:20|Rif. Tuckett e Q. Sella 0:50|Bocca di Tuckett 2:30|Rif. ai Brentei 1:00|Bocca di Brenta 2:30|Rif. Tosa e Pedrotti 3:00|Rif. Alimonta 2:30|Bocca delle Armi 3:00|Rif. Casinei 0:30|Rifugio Vallesinella 1:10,2043,,yes,,,,yes,,,https://www.flickr.com/photos/125134384@N03/28507013784/in/album-72157672751304505/,,,
455647181,46.1920475,10.8823847,,,,,,,,,,,,,https://www.flickr.com/photos/125134384@N03/28842235680/in/album-72157672751304505/,,,
455647549,46.2099942,10.8951012,,,,,,,,,,,,,https://www.flickr.com/photos/125134384@N03/29128874935/in/album-72157672751304505/,,,
455647550,46.2108187,10.8947176,,,,,,,,,,,,,https://www.flickr.com/photos/125134384@N03/29096199126/in/album-72157672751304505/,,,
455647648,46.2145126,10.9009107,,,,,,,,,,,,,,,,
455671474,46.2071906,10.9216254,,,,,,,,,,,,,,,,
455671544,46.2019110,10.9333576,,,,,,,,,,,,,,,,
455671725,46.1899470,10.9510093,,,,,,yes,,,,yes,,,,,,
455695832,46.1793880,10.9452934,,,,,,yes,,,,yes,,,,,,
455703635,46.1710538,10.9305165,,,,,,,,,,,,,,,,
455703638,46.1709191,10.9312612,,,,,,,,,,,,,,,,
455703641,46.1707197,10.9315020,,,,,,,,,,,,,,,,
455703647,46.1704789,10.9317909,,,,,,,,,,,,,,,,
456423105,46.1897451,10.9607755,,,,,,yes,,,,yes,,,,,,
456740218,46.0401138,10.6324183,,,,,,,,,,,,,,,,
456740238,46.0536835,10.5999870,,,,1970,,,,,,,,,,,,
456740239,46.0532459,10.5996651,,,,,,,,,,,,,,,,
456740240,46.0495468,10.6112768,,,,,,,,,,,,,,,,
456740244,46.0514645,10.5943447,,,,,,,,,,,,,,,,
456740246,46.0486685,10.5880908,,,,,,,,,,,,,,,,
456740961,46.1748505,10.9694025,,,,,,yes,,,,yes,,,,,,
