@id,@lat,@lon
583525833,46.0742917,11.1351433
600591688,46.3441348,10.9022864
608057998,46.4376285,11.2159353
608070306,46.4234793,11.1774556
608075111,46.4245451,11.1784126
608107364,46.4498543,11.1620227
609173094,46.3191032,10.9615118
610975821,45.9052850,10.8436333
613869967,46.3310576,10.8783195
613870016,46.3318402,10.8833707
614841314,46.3515210,10.9110477
614841384,46.3536346,10.9167464
614841412,46.3711617,10.9520116
614926907,45.8524186,11.0108788
616098860,46.0089084,11.3020489
616524571,46.4012911,10.8450993
616524582,46.3726424,10.8791377
622616092,46.3558217,10.6632109
622616191,46.3581760,10.6670401
622616640,46.3503509,10.9101653
624164632,46.2975795,11.7892994
638751082,45.9278122,11.1185037
638751083,45.9277640,11.1183292
639577135,46.4419565,11.1773500
642955177,46.1346061,11.3249471
663185151,46.0919065,11.1831543
666807278,46.0528889,11.4103962
672719386,46.0467552,11.4210979
685781703,45.9651751,10.9734442
690739282,45.8204190,10.9579027
702858959,46.0338423,10.8704895
721240461,46.1533470,11.8112558
722609750,45.8728528,10.5201981
722738606,46.1516510,11.7976348
722739961,46.1519522,11.7966991
722984972,46.4300524,11.6865386
724938277,46.0663980,11.3215030
726810225,45.9316479,11.0884631
727783810,46.2888502,11.5136375
734898009,46.4772023,11.7659850
736520966,46.4583003,11.7979655
737143804,46.4307714,11.6878623
739372041,46.1482785,11.7968144
740858747,46.0191736,10.6209098
740858753,46.0217654,10.6130198
753274464,45.8545276,10.5683622
754584994,46.2238956,11.8909266
755814003,45.8297009,10.5361562
755814006,45.8299344,10.5369460
759092725,46.0946628,11.0719601
765601132,46.0345553,10.8902779
765788341,45.8324190,10.8924387
765940434,46.3953639,11.1484655
766274590,45.9604545,10.9330214
766274591,45.9308301,10.9055556
766714817,46.0787657,11.2791273
770669288,46.1825498,10.7583682
770688362,46.2130216,10.7540479
772026954,45.7582861,11.1767165
772027237,45.7578640,11.1778775
772053499,45.7580889,11.1700647
794421793,45.9207012,11.0224641
805981161,46.3211036,11.7804984
806308527,46.1201329,10.7512912
811087095,46.0683074,11.1166789
823642105,45.8506694,10.9767955
833753188,46.1609041,11.5286561
835377772,45.9191582,10.8623017
835468523,46.0257591,11.2308067
835778792,45.9003400,10.9436095
842345037,46.1337182,11.8807016
848995040,46.4172338,11.7192397
848995065,46.4175933,11.7234730
848995206,46.4139782,11.7292801
848995292,46.4145296,11.7286661
848995753,46.4209346,11.7036868
853629729,46.3475142,10.9223886
853824706,46.0537057,10.8733498
859538666,45.9414809,11.2524162
859541353,46.0995481,11.1191634
859542323,46.2671093,11.4035987
859543365,46.2775255,11.4138637
859545372,46.2781534,11.4518663
862967043,46.0042716,11.2853642
863819100,46.0264204,11.2306374
863820188,46.0393269,11.3003273
866618140,46.3399169,10.6191088
876955948,46.1164724,10.8085346
880590750,46.0735052,11.1202903
880590806,46.0717438,11.1212006
883431380,45.9691003,11.2324529
883432668,45.9691224,11.2326918
883432672,45.9694794,11.2328590
888057089,46.0663402,11.1752150
914842140,45.9650467,11.2951358
919496816,45.8511646,10.8262843
919577055,46.0897960,10.8861262
922129789,46.0316319,10.7236637
932581848,46.2231427,11.2654796
935635082,45.9009955,10.9479018
935635301,45.9071288,10.9772632
936538551,46.0687663,11.1202820
937259590,46.2627423,11.3393327
