Concessionario;Codice impianto;Nome impianto;Tariffa (Euro);Apertura Dal Giorno;Apertura Al Giorno;Orario dalle ore ;Orario alle ore ;Variazioni e note
S.I.T.C.;C050m;Pian Frataces - Gherdecia;6,5;01/02/2015;12/04/2015;08:45;17:00;
I.T.A.P.;C051a;Tresca - Doss Cappello;2,8;29/11/2014;12/04/2015;08:30;16:30;
S.I.T. Bellamonte;C052a;Le Fassane - La Morea;4,1;29/11/2014;31/01/2015;08:30;16:00;
S.I.T. Bellamonte;C052a;Le Fassane - La Morea;4,1;01/02/2015;28/02/2015;08:30;16:15;
S.I.T. Bellamonte;C052a;Le Fassane - La Morea;4,1;01/03/2015;12/04/2015;08:30;16:30;
Soc. Impianti Funiviari Lusia;C053m;Valbona - Piavac;4,4;29/11/2014;12/04/2015;08:30;16:30;
Soc. Fun. Folgarida Marilleva;C054g;Belvedere - Malghet Haut;6,1;29/11/2014;12/04/2015;08:30;16:40;
Soc. Fun. Pinzolo;C055h;Malga Grual - Doss del Sabion;3,5;28/11/2014;26/04/2015;08:30;17:00;
Imprese e Territorio Soc. Cons. s.r.l.;C056b;Malga Ces - Punta Ces;4,5;05/12/2014;06/04/2015;08:15;16:30;
Soc. Fun. Pinzolo;C057h;Pinzolo - Pr‡ Rodont;7;28/11/2014;26/04/2015;08:00;18:00;
Soc. Fun. Pinzolo;C057h;Pinzolo - Pr‡ Rodont;7;30/05/2015;20/09/2015;08:30;18:00;
Soc. Carosello Tonale;C058g;Passo Tonale - Valena;2,7;25/10/2014;30/04/2015;08:30;16:45;
Soc. Carosello Tonale;C058g;Passo Tonale - Valena;2,7;25/10/2014;30/04/2015;20:30;23:00;
Soc. Carosello Ski Folgaria;C059l;Serrada - Dosso Martinella;4;29/11/2014;19/04/2015;08:30;17:00;
Soc. Fun. Alpe Cermis;C060a;Cavalese - Masi di Cavalese;3;05/12/2014;12/04/2015;08:15;16:45;salita
Soc. Fun. Alpe Cermis;C060a;Cavalese - Masi di Cavalese;3;05/12/2014;12/04/2015;08:15;17:00;discesa
Soc. Fun. Alpe Cermis;C060a;Cavalese - Masi di Cavalese;3;05/12/2014;12/04/2015;19:30;22:30;soli giorni di mercoledç e venerdi
Soc. Fun. Alpe Cermis;C061a;Masi di Cavalese - Doss dei Laresi;5;05/12/2014;12/04/2015;08:15;16:45;salita
Soc. Fun. Alpe Cermis;C061a;Masi di Cavalese - Doss dei Laresi;5;05/12/2014;12/04/2015;08:15;17:00;discesa
Soc. Fun. Alpe Cermis;C061a;Masi di Cavalese - Doss dei Laresi;5;05/12/2014;12/04/2015;19:30;22:30;soli giorni di mercoledç e venerdi
Soc. Fun. Alpe Cermis;C062a;Cermis - Paion del Cermis;3,5;05/12/2014;12/04/2015;08:30;16:30;
Soc. Fun. Ciampac e Contrin;C063m;Orsa - Maggiore;4,8;05/12/2014;31/01/2015;08:45;16:30;
Soc. Fun. Ciampac e Contrin;C063m;Orsa - Maggiore;4,8;01/02/2015;06/04/2015;08:45;17:00;
Soc. Fun. Folgarida Marilleva;C064g;Folgarida - Malghet Haut;6,3;29/11/2014;12/04/2015;08:30;16:40;
Soc. Fun. Madonna di Campiglio;C065h;Piana di Vigo - Pradalago;4,3;16/11/2014;30/04/2015;08:30;17:30;
S.I.T.C.;C066m;Sass - BecË;4;05/12/2014;31/01/2015;09:00;16:40;
S.I.T.C.;C066m;Sass - BecË;4;01/02/2015;12/04/2015;09:00;17:10;
Brentonico Ski societ‡ consortile a r.l.;C067l;Polsa - Montagnola;4;29/11/2014;22/03/2015;09:00;16:30;
Soc. Fun. Folgarida Marilleva;C069g;Malga Panciana - Sghirlat;2,9;29/11/2014;12/04/2015;08:30;16:30;
S.I.T.C.;C070m;Norei - Cinque Dita;4;05/12/2014;31/12/2015;08:45;16:30;
S.I.T.C.;C070m;Norei - Cinque Dita;4;01/02/2015;12/04/2015;08:45;17:00;
Soc. Catinaccio Impianti a Fune;C071m;Pian Pecei - Pr‡ Martin;4;05/12/2014;24/01/2015;08:30;16:15;
Soc. Catinaccio Impianti a Fune;C071m;Pian Pecei - Pr‡ Martin;4;25/01/2015;06/04/2015;08:30;16:30;
Soc. Fun. Folgarida Marilleva;C072g;Copai - Malga Panciana;6,4;29/11/2014;12/04/2015;08:30;16:40;
Soc. Trento Funivie;C073e;Malga Mezzavia - Fortino;6;29/11/2014;07/04/2015;08:45;16:45;
Soc. Fun. Alpe Cermis;C074a;Doss dei Laresi - Cermis;7,5;05/12/2014;12/04/2015;08:30;16:30;salita
Soc. Fun. Alpe Cermis;C074a;Doss dei Laresi - Cermis;7,5;05/12/2014;12/04/2015;08:30;16:45;discesa
Soc. Fun. Alpe Cermis;C075a;Campigol del Cermis - Cimon del TÚ dela Trapola;4,5;05/12/2014;12/04/2015;08:30;16:30;
Soc. Fun. Folgarida Marilleva;C076g;Val Panciana - Monte Vigo;4,3;29/11/2014;12/04/2015;08:30;16:30;
Soc. Paganella 2001;C077e;Meriz - Selletta;4;22/11/2014;30/01/2015;08:30;16:00;
Soc. Paganella 2001;C077e;Meriz - Selletta;4;31/01/2014;06/04/2015;08:30;16:30;
Soc. Valle Bianca;C078e;Laghet - Prati di Gaggia;3,8;22/11/2015;06/04/2015;08:30;16:30;
Soc. Valle Bianca;C078e;Laghet - Prati di Gaggia;3,8;20/12/2014;05/01/2015;;;per gli allenamenti entrer‡ in funzione alle ore 7,00
Soc. Fun. Madonna di Campiglio;C079h;Rifugio Graffer - Passo GrostË;3,9;16/11/2014;30/04/2015;08:30;17:30;
Soc. Paganella 2001;C080e;Albi de Mez - Cima Paganella;4;22/11/2014;30/01/2015;08:30;16:00;
Soc. Paganella 2001;C080e;Albi de Mez - Cima Paganella;4;31/01/2015;06/04/2015;08:30;16:30;
Soc. Paganella 2001;C082e;Andalo - Doss Pel‡;7,5;22/11/2014;30/01/2015;08:30;16:00;
